number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
106,AER2,R3,Rep6,sand,Muromo_wehoto,G10,8,74.36,0.09,80.2306,-7.85,6.68,24.2976,28.56,43.87,66.79,0.17,-7.7882,1316.6,39.67,0.47,53.32,0.26
107,AER2,R3,Rep6,sand,Natal_common,G11,7,50.74,0.12,76.8382,-6.1,21.18,33.1084,48.6,42.72,63.57,0.17,-6.5605,102.0409,28.93,0.56,60.41,0.12
108,AER2,R3,Rep6,sand,Tumbe,G12,7,40.79,0.08,31.5852,-6.8,16.47,26.1093,40.54,44.59,40.52,0.17,-8.3686,1446.682,37.98,0.52,58.47,0.25
1,AER3,R1,Rep1,red,Kasawaya,G6,5,26.98,0.04,85,10.79,32.64,0.43,23.21,33.01,46.37,0.45,-6.9,0,27.59,0.45,51.63,0.34
2,AER3,R1,Rep1,red,Natal_common,G11,6,32.76,0.11,82.59,8.95,25.03,0.76,20.86,23.31,39.68,0.12,-12.43,-385.56,17.11,0.55,59.09,0.16
3,AER3,R1,Rep1,red,Makulu_red,G7,6,33.58,0.05,45,11.74,35.48,0.89,35.24,35.2,40.96,0.12,-10.23,0,27.52,0.48,54.34,0.35
4,AER3,R1,Rep1,red,Tumbe,G12,6,34.96,0.06,92.35,13.26,38.81,1.02,37.1,36.44,50,0.08,-17.81,910.71,27.15,0.48,54.77,0.37
5,AER3,R1,Rep1,red,Murambatsvina,G9,6,35.98,0.12,81.48,9.54,28.49,1.03,26.59,28.55,17.16,0.15,-13.85,231.02,23.2,0.51,56.38,0.23
6,AER3,R1,Rep1,red,Munzungu_munemari,G8,6,39.53,0.06,90.7,10.85,34.09,1.11,35.57,35.56,37.54,0.09,-16.09,1097.96,28.66,0.47,53.97,0.35
7,AER3,R1,Rep1,red,Chizambia,G3,7,47.86,0.09,88.1,11.11,30.68,1.47,25.18,27.32,12.16,0.1,-14.28,-267.72,19.49,0.55,59.31,0.2
8,AER3,R1,Rep1,red,Chigunwe,G2,7,48.52,0.08,36.06,9.73,32.04,1.53,34.95,35.33,38.04,0.13,-15.36,1223.3,29.4,0.47,54.03,0.34
9,AER3,R1,Rep1,red,Bobwhite,G1,7,49.56,0.05,89.96,-11.2,34.66,2.11,35.04,35.19,44.27,0.08,-16.32,975.18,27.83,0.48,54.51,0.34
10,AER3,R1,Rep1,red,Guinea_fowl,G4,7,50.24,0.05,91.58,11.17,28.81,2.44,21.29,33.31,69.52,0.06,-13.81,-644.49,14.84,0.56,59.28,0.16
11,AER3,R1,Rep1,red,Muromo_wehoto,G10,7,58.03,0.11,81.51,8.89,25.76,8,22.53,25.04,12.54,0.13,-12.51,-206.84,19.35,0.55,58.9,0.17
12,AER3,R1,Rep1,red,Kabhutsu,G5,7,65,0.23,60.82,-4.73,2.23,10,16.69,21.87,40,0.24,-0.96,899.99,48.24,0.58,62.94,0.08
13,AER3,R1,Rep2,red,Kasawaya,G6,5,27.98,0.07,84.61,10.59,28.96,0.66,25.55,26.32,48,0.46,-5.11,270.52,21.89,0.46,51.02,0.25
14,AER3,R1,Rep2,red,Natal_common,G11,6,33.76,0.07,87.82,8.87,29.55,0.91,33.43,33.46,36.11,0.11,-14.88,1422.31,29.87,0.44,51.06,0.35
15,AER3,R1,Rep2,red,Makulu_red,G7,6,34.12,0.07,46,9.02,29.52,1.02,32.62,32.86,38.65,0.11,-10.21,0,29.16,0.45,51.38,0.33
16,AER3,R1,Rep2,red,Tumbe,G12,6,35.1,0.05,91.08,10.43,33.5,1.22,35.28,35.76,55.3,0.07,-15.44,1192.9,28.73,0.48,55.16,0.34
17,AER3,R1,Rep2,red,Murambatsvina,G9,6,36.5,0.09,84.44,6.81,27.07,1.23,34.86,35.5,34.85,0.14,-13.29,1797.9,32.74,0.45,52.58,0.35
18,AER3,R1,Rep2,red,Munzungu_munemari,G8,6,40,0.08,83.51,7.44,23.17,1.27,22.75,24.97,17.23,0.1,-11.54,243.47,22.44,0.5,54.76,0.19
19,AER3,R1,Rep2,red,Chizambia,G3,7,48,0.08,90.24,11.16,30.3,1.69,26.34,27.03,15.56,0.09,-15.67,124.14,21.9,0.47,51.61,0.25
20,AER3,R1,Rep2,red,Chigunwe,G2,7,49.2,0.08,36.24,10.83,29.72,1.7,36.45,37.04,39.28,0.11,-15.59,291.19,22.5,0.46,50.83,0.26
21,AER3,R1,Rep2,red,Bobwhite,G1,7,50.1,0.06,89.96,-9.22,31.06,1.73,34.63,34.69,40.69,0.09,-15.1,1436.66,29.84,0.46,52.41,0.35
22,AER3,R1,Rep2,red,Guinea_fowl,G4,7,51,0.06,91.62,11.23,34.22,2.9,23.64,34.51,69.78,0.08,-16.34,1139.98,27.81,0.47,53.25,0.35
23,AER3,R1,Rep2,red,Muromo_wehoto,G10,7,59,0.13,82.77,8.62,26.71,12,27.46,28.49,23.24,0.17,-14.58,596.47,25.99,0.46,51.14,0.27
24,AER3,R1,Rep2,red,Kabhutsu,G5,8,65.2,0.23,60.82,-4.73,2.23,12.45,16.69,21.87,45.2,0.24,-0.96,899.99,48.24,0.58,62.94,0.08
25,AER3,R1,Rep3,red,Kasawaya,G6,5,28,0.09,84.7,10.65,37.29,0.59,24.35,38.25,51,0.43,-4.23,159.83,24.93,0.59,62.14,0.07
26,AER3,R1,Rep3,red,Natal_common,G11,6,34,0.2,58.55,-3.86,2.6,0.84,14.99,19.42,36.88,0.22,-1.15,817.09,43.94,0.55,59.37,0.07
27,AER3,R1,Rep3,red,Makulu_red,G7,6,34.8,0.1,43.21,10.47,38.2,0.98,36.07,39.93,40.12,0.12,-8.45,0,29.41,0.55,58.65,0.09
28,AER3,R1,Rep3,red,Tumbe,G12,6,35.8,0.13,72.24,-2.23,4.14,1.01,13.45,17.09,57.2,0.14,-1.92,500.12,33.74,0.53,56.65,0.06
29,AER3,R1,Rep3,red,Murambatsvina,G9,6,37,0.14,67.74,-2.46,4.26,1.02,14.24,18.26,5.98,0.15,-2,513.07,35.05,0.55,59.18,0.07
30,AER3,R1,Rep3,red,Munzungu_munemari,G8,7,41.5,0.19,70.1,-3.29,4.8,1.02,17.82,22.46,9.76,0.21,-2.28,959.75,42.04,0.54,58.73,0.1
31,AER3,R1,Rep3,red,Chizambia,G3,7,49,0.09,77.86,0.59,9.08,1.06,14.79,18.33,10.8,0.1,-4.54,169.44,23.19,0.56,59.46,0.08
32,AER3,R1,Rep3,red,Chigunwe,G2,7,50,0.07,36.02,10.1,32.29,1.19,36.66,31.83,36.26,0.12,-15,888.66,47.88,0.58,62.99,0.08
33,AER3,R1,Rep3,red,Bobwhite,G1,7,50.8,0.04,88.1,-12.18,34.29,1.89,33.47,37.31,40.7,0.06,-14.34,425.19,32.26,0.55,59.16,0.06
34,AER3,R1,Rep3,red,Guinea_fowl,G4,7,51,0.08,80.43,10.33,28.05,2.02,23.83,36.95,67.45,0.09,-14.25,231.24,23.53,0.52,55.56,0.08
35,AER3,R1,Rep3,red,Muromo_wehoto,G10,7,59.55,0.2,68.75,-3.41,4.05,10.15,16.49,21.25,8.24,0.22,-1.96,709.35,41.15,0.57,61.57,0.08
36,AER3,R1,Rep3,red,Kabhutsu,G5,8,65.4,0.23,60.82,-4.73,2.23,11,16.69,21.87,48.6,0.24,-0.96,899.99,48.24,0.58,62.94,0.08
37,AER3,R2,Rep1,red,Kasawaya,G6,5,28.95,0.04,88.56,5.65,37.41,0,27.76,40.12,55,0.36,-9.26,1016.61,34.5,0.49,55.56,0.24
38,AER3,R2,Rep1,red,Natal_common,G11,6,34.5,0.07,72.95,3.88,23.68,2.25,37.56,38.75,73.85,0.26,-12.25,1946.2,37.18,0.46,54.18,0.37
39,AER3,R2,Rep1,red,Makulu_red,G7,6,35,0.04,52,16.31,27.13,2.76,35.88,46.15,77.53,0.31,-13.87,1419.88,33.43,0.47,54.38,0.35
40,AER3,R2,Rep1,red,Tumbe,G12,6,36,0.06,78.98,5.48,25.53,2.85,35.69,36.93,72.41,0.2,-13.26,1513.19,34.47,0.47,54.2,0.35
41,AER3,R2,Rep1,red,Murambatsvina,G9,6,37.54,0.26,72.45,0.94,12.65,2.96,21.41,25.08,15.67,0.3,-7.76,470.3,32.45,0.51,55.63,0.16
42,AER3,R2,Rep1,red,Munzungu_munemari,G8,7,42,0.29,72.18,1.11,11.85,7.14,18.96,22.69,13.19,0.33,-7.87,60.03,29.09,0.53,57.47,0.13
43,AER3,R2,Rep1,red,Chizambia,G3,7,49.55,0.31,69.62,0.19,10.03,7.94,18.01,21.9,10.47,0.35,-6.9,115.22,30.27,0.54,57.99,0.12
44,AER3,R2,Rep1,red,Chigunwe,G2,7,52.45,0.09,49.7,12.25,39.24,8.71,43.24,34.97,58.23,0.19,-11.09,1806.48,37.79,0.44,51.8,0.33
45,AER3,R2,Rep1,red,Bobwhite,G1,7,51.55,0.03,88.65,-13.44,42.86,8.76,37.19,38.58,55.1,0.02,-18.56,2044.89,37.55,0.46,54.23,0.37
46,AER3,R2,Rep1,red,Guinea_fowl,G4,7,52,0.03,83.32,7.93,32,8.83,36.77,41.08,74.62,0.02,-12.21,1051.19,30.15,0.63,69.28,0.27
47,AER3,R2,Rep1,red,Muromo_wehoto,G10,7,60.1,0.04,0,5.16,23.97,11.2,34.24,34.88,81.62,0.2,0,0,34.63,0.44,50.93,0.35
48,AER3,R2,Rep1,red,Kabhutsu,G5,8,66,0.17,86.19,5.59,19.15,15.71,20.31,22.9,60.3,0.2,-12,-329.85,22.33,0.51,54.96,0.16
49,AER3,R2,Rep2,red,Kasawaya,G6,5,28.99,0.07,88.75,4.65,32.41,1.54,26.35,42.32,65,0.31,-10.21,419.52,43.55,0.55,59.64,0.06
50,AER3,R2,Rep2,red,Natal_common,G11,6,35,0.21,43.23,-1.2,8.19,2.5,20.31,22.5,29.15,0.3,-3.54,406.26,39.76,0.39,44.03,0.19
51,AER3,R2,Rep2,red,Makulu_red,G7,6,35.5,0.06,53,15.3,26.26,3.14,32.35,46.38,76.65,0.3,-13.99,-91.02,22.89,0.56,59.54,0.06
52,AER3,R2,Rep2,red,Tumbe,G12,6,36.89,0.28,51.4,-5.96,2.93,3.89,23.74,26.82,17.7,0.34,2.33,972.11,54.67,0.39,45.21,0.23
53,AER3,R2,Rep2,red,Murambatsvina,G9,6,38,0.28,56.3,-6.22,1.99,4.34,21.68,25.9,24.1,0.38,-2.29,669.52,55.89,0.44,50.15,0.17
54,AER3,R2,Rep2,red,Munzungu_munemari,G8,7,42.8,0.44,46.97,-9.45,-2.69,5.47,21.4,25.82,15.39,0.52,0.8,822.46,71.32,0.41,47.87,0.17
55,AER3,R2,Rep2,red,Chizambia,G3,7,50,0.33,28.61,-5.06,0.35,6.5,14.56,17.09,8.3,0.36,-1.79,90.67,59.01,0.36,40.83,0.11
56,AER3,R2,Rep2,red,Chigunwe,G2,7,53,0.09,45.32,11.73,38.45,6.77,41.81,38.02,59.41,0.06,-15.6,1553.31,40.76,0.44,49.35,0.19
57,AER3,R2,Rep2,red,Bobwhite,G1,7,52,0.02,90,-13.45,41.68,8.55,33.78,39.39,55.28,0.03,-20,0,37.78,0.43,48.49,0.22
58,AER3,R2,Rep2,red,Guinea_fowl,G4,7,53,0.02,85.01,7.85,37.5,9.34,39.44,42.03,77.13,0.03,-12.42,300.56,39.82,0.41,45.73,0.17
59,AER3,R2,Rep2,red,Muromo_wehoto,G10,8,60.8,0.35,36.75,-5.36,1.91,10,19.02,22.23,16.54,0.41,-0.26,439.93,54.79,0.39,44.96,0.16
60,AER3,R2,Rep2,red,Kabhutsu,G5,8,66.5,0.12,81.95,7.11,22.8,14.38,23.66,25.52,64.6,0.16,-13.44,286.88,24.38,0.48,52.29,0.21
61,AER3,R2,Rep3,red,Kasawaya,G6,5,29.5,0.04,88.61,7.23,39.85,3.61,25.59,45.18,64,0.35,-8.21,1503.69,41.92,0.51,56.81,0.2
62,AER3,R2,Rep3,red,Natal_common,G11,6,35.56,0.3,35.75,-10.16,-1.75,5.53,25.76,32.06,39.98,0.5,1.83,2950.14,67.11,0.5,57.7,0.18
63,AER3,R2,Rep3,red,Makulu_red,G7,6,36,0.06,55,15.07,28.36,6.51,39.45,44.39,75.23,0.39,-14.25,0,50.19,0.54,59.23,0.11
64,AER3,R2,Rep3,red,Tumbe,G12,6,38.1,0.29,48.69,-8.09,-0.38,7.09,22.03,27.42,30.25,0.42,0.23,1981.45,63.44,0.49,55.05,0.15
65,AER3,R2,Rep3,red,Murambatsvina,G9,6,39,0.24,31.97,-5.4,2.01,7.1,18.79,23.2,28.22,0.33,0.92,1208.77,53.47,0.47,52.83,0.13
66,AER3,R2,Rep3,red,Munzungu_munemari,G8,7,43,0.37,48.24,-9.03,-1.63,8.18,22.19,27.98,20.67,0.47,1.11,2065.71,67.42,0.5,56.4,0.15
67,AER3,R2,Rep3,red,Chizambia,G3,7,50.9,0.03,85.9,-0.92,11.59,8.44,25.08,29.43,71.98,0.11,-6.03,1261.95,38.67,0.51,57.14,0.19
68,AER3,R2,Rep3,red,Chigunwe,G2,7,54,0.04,49.58,12.3,33.32,9.56,40.88,40.25,57.97,0.03,14.46,1728.54,73.53,0.46,53.03,0.14
69,AER3,R2,Rep3,red,Bobwhite,G1,7,52.7,0.02,88.13,-15.96,45.12,10.43,38.05,40.75,50.86,0.03,-22.75,2395.87,51.97,0.47,54.24,0.23
70,AER3,R2,Rep3,red,Guinea_fowl,G4,7,54,0.04,90.5,8.15,31.45,12.22,36.65,41.02,71.8,0.06,-16.6,1277.45,40.57,0.5,56.8,0.21
71,AER3,R2,Rep3,red,Muromo_wehoto,G10,8,61,0.12,71.56,-4.97,6.87,13.08,27.87,33.54,57.76,0.28,-3.85,1838.61,48.46,0.53,60.05,0.2
72,AER3,R2,Rep3,red,Kabhutsu,G5,8,67,0.15,79.92,5.22,20.91,14.71,24.87,28.94,66.8,0.1,-15.74,1395.57,39.64,0.49,55.19,0.2
73,AER3,R3,Rep1,red,Kasawaya,G6,6,30.5,0.01,90.1,5.52,40.53,4.17,41.92,42.3,92.85,0.35,-10.24,0,33.39,0.5,58.29,0.4
74,AER3,R3,Rep1,red,Natal_common,G11,6,36,0.01,77.18,7.69,28.65,8.6,35.43,35.69,90.3,0.1,-14.31,1427.78,32.12,0.45,52.37,0.36
75,AER3,R3,Rep1,red,Makulu_red,G7,6,36.8,0.01,60,7.61,30.36,9.5,40.41,45.68,95.47,0.22,-13.65,0,34.58,0.44,52.67,0.43
76,AER3,R3,Rep1,red,Tumbe,G12,6,39,0,86.2,11.72,38.23,10.31,41.03,40.59,93.06,0.07,-17.17,1278.62,30.32,0.5,57.27,0.4
77,AER3,R3,Rep1,red,Murambatsvina,G9,6,40,0.02,72.54,7.67,29.02,12.02,34.11,36.22,84.36,0.13,-13.29,1084.58,30.51,0.52,58.27,0.3
78,AER3,R3,Rep1,red,Munzungu_munemari,G8,7,43.5,0.02,77.96,7.65,30.06,13.84,38.46,38.67,81.68,0.12,-15.12,1595.37,33.37,0.47,54.42,0.39
79,AER3,R3,Rep1,red,Chizambia,G3,7,51,0.01,76.39,8.07,30.95,15.04,38.78,38.97,90.73,0.12,-15.39,1525.79,33,0.47,54.92,0.39
80,AER3,R3,Rep1,red,Chigunwe,G2,7,54.9,0.01,52.97,18.1,41.5,15.26,49.69,51.66,67.96,0.08,-15.13,1711.18,33.32,0.47,55,0.4
81,AER3,R3,Rep1,red,Bobwhite,G1,7,53.2,0.01,93.54,-16.22,53.05,15.65,47.23,40.67,69.44,0.01,-30.91,583.75,28.11,0.55,60.09,0.22
82,AER3,R3,Rep1,red,Guinea_fowl,G4,7,54.8,0.01,93.96,10.75,33,16.16,38.49,53.91,81.58,0.06,-17.63,801.03,28.51,0.45,51.19,0.36
83,AER3,R3,Rep1,red,Muromo_wehoto,G10,8,61.8,0.1,64.56,2.34,16.27,16.34,24.31,28.06,61.22,0.25,-8.56,705.92,31.6,0.52,57.62,0.19
84,AER3,R3,Rep1,red,Kabhutsu,G5,8,67.8,0.03,92.04,11.72,38.32,21.56,39.63,40.58,75.6,0.07,-16.3,1004.11,29.12,0.54,60.81,0.36
85,AER3,R3,Rep2,red,Kasawaya,G6,6,31,0.02,90.3,3.36,45.21,2.19,46.51,44.89,90.6,0.3,-12.53,2350.58,36.54,0.52,60.39,0.4
86,AER3,R3,Rep2,red,Natal_common,G11,6,36.5,0,83.54,7.72,31.88,5.82,41.5,42.04,95.83,0.08,-13.61,1994.46,34.21,0.49,57.78,0.4
87,AER3,R3,Rep2,red,Makulu_red,G7,6,37,0.01,61,7.59,31.45,8.16,40.2,48.31,88.93,0.21,-13.57,1730.56,33.53,0.51,59.31,0.37
88,AER3,R3,Rep2,red,Tumbe,G12,6,40.1,0,96.67,10.22,33.99,8.97,38.95,37.7,94.4,0.06,-17.33,1375.83,31.37,0.45,52.19,0.41
89,AER3,R3,Rep2,red,Murambatsvina,G9,6,41,0.01,84.36,8.95,30.69,9.31,36.88,35.63,94.32,0.09,-16.55,1345.14,31.96,0.42,49.69,0.41
90,AER3,R3,Rep2,red,Munzungu_munemari,G8,7,44,0.02,80.13,8.35,31.25,10.15,38.71,38.62,79.64,0.11,-15.82,1513.34,32.82,0.46,54.18,0.39
91,AER3,R3,Rep2,red,Chizambia,G3,7,51.6,0.02,77.01,8.33,31.21,13.65,38.49,38.58,87,0.12,-15.61,1489.44,32.67,0.47,54.56,0.39
92,AER3,R3,Rep2,red,Chigunwe,G2,7,55,0.01,58.37,14.59,49.96,13.73,44.19,49.27,62.79,0.07,-16.6,2319.19,36.39,0.64,72.58,0.33
93,AER3,R3,Rep2,red,Bobwhite,G1,7,54,0.02,90.91,-18.23,54.36,15.32,40.41,49.3,69.5,0.02,-36.33,1644.46,32.16,0.46,53.57,0.42
94,AER3,R3,Rep2,red,Guinea_fowl,G4,7,54.9,0.01,96.77,12.26,37.85,15.53,39.74,58.17,96.65,0.03,-18.11,1249.89,29.75,0.46,53.26,0.42
95,AER3,R3,Rep2,red,Muromo_wehoto,G10,8,62,0,76.37,6.16,28.83,15.66,40.68,41.38,97.15,0.11,-13,2028.97,35.6,0.48,56.55,0.4
96,AER3,R3,Rep2,red,Kabhutsu,G5,8,68,0.01,98.85,13.62,41.62,18.61,41.96,40.59,72.14,0.02,-18.38,1222.14,29.25,0.49,56.56,0.42
97,AER3,R3,Rep3,red,Kasawaya,G6,6,31.8,0.05,95.1,4.45,43.61,0,16.01,48.21,94,0.35,-12.23,273.71,32.45,0.55,59.13,0.09
98,AER3,R3,Rep3,red,Natal_common,G11,6,37,0.1,56.84,-4.45,4.22,5.96,20.31,25.24,66.23,0.29,-2.03,1247.15,47.53,0.52,57.37,0.13
99,AER3,R3,Rep3,red,Makulu_red,G7,6,37.5,0.03,63.2,8,35.83,6.02,47.12,50.1,88.29,0.21,-14.21,0,38.84,0.53,58,0.1
100,AER3,R3,Rep3,red,Tumbe,G12,7,40.5,0.07,81.73,-1.65,7.56,6.82,18.55,22.88,58.9,0.18,-4.4,538.18,36.41,0.53,58.17,0.12
101,AER3,R3,Rep3,red,Murambatsvina,G9,7,41.6,0.05,0,-1.7,7.45,7.58,18.5,22.78,71.09,0.19,0,0,36.68,0.53,57.71,0.12
102,AER3,R3,Rep3,red,Munzungu_munemari,G8,7,44.5,0.14,65.77,-3.62,5.07,9.29,19.38,24.31,51.54,0.29,-2.87,894.6,43.74,0.54,59.31,0.12
103,AER3,R3,Rep3,red,Chizambia,G3,7,52,0,90.86,-0.3,13.22,9.51,26.03,30.85,91.08,0.05,-6.24,1156.74,37.19,0.55,60.75,0.19
104,AER3,R3,Rep3,red,Chigunwe,G2,7,56,0.03,52.02,14.79,41.03,9.71,47.5,52.77,65.79,0.05,16.5,1117.51,65.67,0.52,57.86,0.09
105,AER3,R3,Rep3,red,Bobwhite,G1,7,55.8,0.01,92.4,-17.78,53.92,12.27,40.97,47.11,61.71,0.01,-40,2727.18,55.24,0.52,60.06,0.24
106,AER3,R3,Rep3,red,Guinea_fowl,G4,7,55,0.04,90.11,12.31,36.76,13.68,40.09,57.66,87.65,0.08,-14.37,23.17,26.81,0.54,58.16,0.07
107,AER3,R3,Rep3,red,Muromo_wehoto,G10,8,62.8,0.19,66.46,-4.41,2.39,16.46,16.3,20.77,41.69,0.32,-2.05,661.4,48.29,0.52,56.74,0.09
108,AER3,R3,Rep3,red,Kabhutsu,G5,8,68.9,0.09,98.44,17.12,41.02,17.26,41.7,27.67,74.11,0.05,14.43,1928.32,58.19,0.54,60.44,0.13
109,AER3,R1,Rep4,sand,Kasawaya,G6,8,32,0.07,85.45,-2.06,9.71,0.587,24.13,29.33,26.44,0.1,-4.6763,1139.7491,40.11,0.55,61.2,0.17
110,AER3,R1,Rep4,sand,Natal_common,G11,6,37.8,0.09,81.6835,-1.82,11.64,0.7992,27.52,32.91,36.12,0.14,-5.061,1581.6016,40.71,0.56,62.18,0.2
111,AER3,R1,Rep4,sand,Makulu_red,G7,6,38.4,0.1,74.4236,-1.12,6.14,0.9314,13.99,17.79,11.1,0.12,-3.4428,154.8582,27.43,0.56,60.19,0.07
112,AER3,R1,Rep4,sand,Tumbe,G12,7,41,0.06,70.6567,0.12,7.04,1.1329,12.17,15.43,14.24,0.07,-4.2096,-180.6518,16.5,0.57,60.58,0.05
113,AER3,R1,Rep4,sand,Murambatsvina,G9,7,42,0.16,77.7205,-1.75,7.11,1.3507,17.66,22.27,14.22,0.18,-3.7182,471.8234,35,0.57,61.6,0.1
114,AER3,R1,Rep4,sand,Munzungu_munemari,G8,7,45.6,0.1,83.7952,-2.46,9.57,1.4391,25.37,30.48,30.09,0.14,-4.8327,1310.7994,41.87,0.54,59.77,0.18
115,AER3,R1,Rep4,sand,Chizambia,G3,7,53,0.07,85.45,-2.06,9.71,1.6212,24.13,29.33,26.44,0.1,-4.6763,1139.7491,40.11,0.55,61.2,0.17
116,AER3,R1,Rep4,sand,Chigunwe,G2,7,56.4,0.18,75.5028,-2.96,4.28,5.3764,15.64,20.09,8.44,0.2,-2.9837,332.2797,38.57,0.56,60.57,0.08
117,AER3,R1,Rep4,sand,Bobwhite,G1,7,56.8,0.04,87.4043,-0.35,13.28,6.6034,26.84,31.17,55.1,0.1,-6.3394,1392.2564,38.2,0.52,57.89,0.21
118,AER3,R1,Rep4,sand,Guinea_fowl,G4,7,57,0.06,72.2501,0.34,7.35,7.2322,12.14,15.35,9.75,0.06,-4.4273,-222.3898,15.37,0.58,60.69,0.05
119,AER3,R1,Rep4,sand,Muromo_wehoto,G10,8,63.1,0.08,72.3583,-0.68,6.1,7.2322,12.67,16.13,11.49,0.09,-3.5885,-0.7965,22.15,0.56,59.83,0.05
120,AER3,R1,Rep4,sand,Kabhutsu,G5,8,69,0.15,83.9222,-1.81,5.9,7.3443,15.6,19.67,10.04,0.17,-4.2553,166.9578,33.81,0.55,58.83,0.08
121,AER3,R1,Rep5,sand,Kasawaya,G6,6,32.5,0.16,73.6871,-2.06,5.14,0.3838,14.72,18.84,6.78,0.17,-2.6407,391.5372,33.07,0.56,60.35,0.07
122,AER3,R1,Rep5,sand,Natal_common,G11,6,38,0.09,85.5597,4.68,19.87,0.6379,24.82,27.66,31.12,0.13,-10.634,567.127,28.54,0.5,55.13,0.21
123,AER3,R1,Rep5,sand,Makulu_red,G7,6,39,0.24,65.7403,-2.24,5.52,0.9314,16.2,20.3,5.78,0.26,-2.4145,618.3734,36.82,0.53,57.42,0.09
124,AER3,R1,Rep5,sand,Tumbe,G12,7,41.8,0.12,83.5613,2.89,16,1.0313,22.59,25.6,23.49,0.15,-8.8857,640.2092,29.9,0.49,53.79,0.19
125,AER3,R1,Rep5,sand,Murambatsvina,G9,7,43,0.11,79.9416,1.14,12.22,1.1232,19.73,23.4,18.38,0.14,-6.4845,564.0577,30.12,0.52,56.53,0.14
126,AER3,R1,Rep5,sand,Munzungu_munemari,G8,7,46,0.13,78.2455,0.53,11.71,1.28,20.5,24.44,20.63,0.16,-6.4837,619.9692,32.16,0.52,57.28,0.14
127,AER3,R1,Rep5,sand,Chizambia,G3,7,53.5,0.12,84.0032,1.93,13.67,1.3507,20.28,23.81,17.59,0.14,-7.8359,384.3908,28.96,0.52,56.42,0.15
128,AER3,R1,Rep5,sand,Chigunwe,G2,7,57,0.14,71.0376,0.61,8.99,1.4761,14.67,18.08,4.63,0.15,-4.6663,69.2113,23.38,0.54,58.16,0.08
129,AER3,R1,Rep5,sand,Bobwhite,G1,7,57.9,0.09,93.7948,2.56,14.54,1.7473,19.57,23.43,7.85,0.1,-7.8807,67.0221,25.71,0.56,60.62,0.13
130,AER3,R1,Rep5,sand,Guinea_fowl,G4,7,58,0.04,91.4131,5.74,25.29,1.9472,33.38,35.42,49.31,0.09,-12.2244,1392.8857,32.73,0.49,55.88,0.31
131,AER3,R1,Rep5,sand,Muromo_wehoto,G10,7,63.8,0.08,72.3583,-0.68,6.1,2.0572,12.67,16.13,11.49,0.09,-3.5885,-0.7965,22.15,0.56,59.83,0.05
132,AER3,R1,Rep5,sand,Kabhutsu,G5,7,69.75,0.15,83.9222,-1.81,5.9,2.2738,15.6,19.67,10.04,0.17,-4.2553,166.9578,33.81,0.55,58.83,0.08
133,AER3,R1,Rep6,sand,Kasawaya,G6,6,33,0.07,85.45,-2.06,9.71,0.587,24.13,29.33,26.44,0.1,-4.6763,1139.7491,40.11,0.55,61.2,0.17
134,AER3,R1,Rep6,sand,Natal_common,G11,6,38.7,0.09,85.5597,4.68,19.87,0.9314,24.82,27.66,31.12,0.13,-10.634,567.127,28.54,0.5,55.13,0.21
135,AER3,R1,Rep6,sand,Makulu_red,G7,6,39.4,0.24,65.7403,-2.24,5.52,1.0313,16.2,20.3,5.78,0.26,-2.4145,618.3734,36.82,0.53,57.42,0.09
136,AER3,R1,Rep6,sand,Tumbe,G12,7,42.1,0.12,83.5613,2.89,16,1.3507,22.59,25.6,23.49,0.15,-8.8857,640.2092,29.9,0.49,53.79,0.19
137,AER3,R1,Rep6,sand,Murambatsvina,G9,7,43.5,0.11,79.9416,1.14,12.22,1.4391,19.73,23.4,18.38,0.14,-6.4845,564.0577,30.12,0.52,56.53,0.14
138,AER3,R1,Rep6,sand,Munzungu_munemari,G8,7,46.9,0.13,78.2455,0.53,11.71,1.4761,20.5,24.44,20.63,0.16,-6.4837,619.9692,32.16,0.52,57.28,0.14
139,AER3,R1,Rep6,sand,Chizambia,G3,7,53.5,0.07,85.45,-2.06,9.71,1.7473,24.13,29.33,26.44,0.1,-4.6763,1139.7491,40.11,0.55,61.2,0.17
140,AER3,R1,Rep6,sand,Chigunwe,G2,7,58,0.18,75.5028,-2.96,4.28,1.9472,15.64,20.09,8.44,0.2,-2.9837,332.2797,38.57,0.56,60.57,0.08
141,AER3,R1,Rep6,sand,Bobwhite,G1,7,59,0.04,87.4043,-0.35,13.28,2.2738,26.84,31.17,55.1,0.1,-6.3394,1392.2564,38.2,0.52,57.89,0.21
142,AER3,R1,Rep6,sand,Guinea_fowl,G4,7,59.1,0.06,72.2501,0.34,7.35,5.3764,12.14,15.35,9.75,0.06,-4.4273,-222.3898,15.37,0.58,60.69,0.05
143,AER3,R1,Rep6,sand,Muromo_wehoto,G10,8,64,0.08,72.3583,-0.68,6.1,7.2322,12.67,16.13,11.49,0.09,-3.5885,-0.7965,22.15,0.56,59.83,0.05
144,AER3,R1,Rep6,sand,Kabhutsu,G5,8,70,0.15,83.9222,-1.81,5.9,7.2322,15.6,19.67,10.04,0.17,-4.2553,166.9578,33.81,0.55,58.83,0.08
